name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
Venus BTC,vBTC,"205,836 vBTC","$133.83M $133,828,402",2.34%,19.81%,$650.17 ,--
Bytecoin,BCN,"184,066,828,814 BCN","$128.84M $128,841,465",62.87%,46.68%,$0.00 ,"$158,772 226,826,942 BCN"
Newscrypto,NWC,"157,039,676 NWC","$117.40M $117,397,771",9.15%,8.52%,$0.75 ,"$15,090,828 20,186,574 NWC"
BarnBridge,BOND,"3,015,407 BOND","$117.14M $117,137,801",0.02%,10.73%,$38.85 ,"$5,082,406 130,833 BOND"
Rally,RLY,"172,686,416 RLY","$114.86M $114,857,218",0.86%,3.37%,$0.67 ,"$3,578,822 5,380,715 RLY"
Electroneum,ETN,"17,874,471,498 ETN","$110.22M $110,222,533",8.03%,19.86%,$0.01 ,"$402,177 65,219,966 ETN"
CRYPTO20,C20,"39,861,279 C20","$110.06M $110,060,946",3.09%,22.38%,$2.76 ,"$67,127 24,312 C20"
Sapphire,SAPP,"537,572,916 SAPP","$108.87M $108,874,843",3.20%,18.57%,$0.20 ,"$46,949 231,810 SAPP"
KLAYswap Protocol,KSP,"7,784,449 KSP","$108.35M $108,350,351",9.82%,43.23%,$13.92 ,"$14,557,588 1,045,892 KSP"
Sun (New),SUN,"4,972,136,000 SUN","$98.97M $98,971,603",18.94%,0.00%,$0.02 ,"$12,760,106 641,042,264 SUN"
Venus USDC,vUSDC,"4,771,015,133 vUSDC","$98.40M $98,396,091",0.05%,0.10%,$0.02 ,--
GNY,GNY,"192,376,657 GNY","$98.09M $98,086,765",1.28%,15.76%,$0.51 ,"$253,862 497,897 GNY"
XeniosCoin,XNC,"76,274,958 XNC","$97.36M $97,355,956",2.49%,19.79%,$1.28 ,"$40,889 32,035 XNC"
Radix,EXRD,"734,834,633 EXRD","$95.24M $95,241,368",2.66%,7.73%,$0.13 ,"$2,659,292 20,517,765 EXRD"
Centrality,CENNZ,"1,200,000,000 CENNZ","$94.39M $94,388,864",6.92%,0.98%,$0.08 ,"$1,241,191 15,779,712 CENNZ"
Automata Network,ATA,"172,252,000 ATA","$93.72M $93,718,919",15.28%,41.64%,$0.54 ,"$25,265,232 46,436,586 ATA"
Perpetual Protocol,PERP,"21,795,505 PERP","$91.63M $91,628,189",18.99%,55.49%,$4.20 ,"$13,935,781 3,314,890 PERP"
Badger DAO,BADGER,"9,605,248 BADGER","$90.52M $90,524,279",13.86%,33.15%,$9.42 ,"$10,574,917 1,122,071 BADGER"
Mobilian Coin,MBN,"141,494,300 MBN","$89.84M $89,835,887",4.79%,7.74%,$0.63 ,"$176,502 277,995 MBN"
CoinMetro Token,XCM,"303,066,044 XCM","$89.47M $89,472,096",24.14%,20.30%,$0.30 ,"$219,524 743,587 XCM"
Orbs,ORBS,"2,229,950,518 ORBS","$89.10M $89,104,104",22.93%,45.26%,$0.04 ,"$1,135,676 28,421,825 ORBS"
Elitium,EUM,"30,086,253 EUM","$88.96M $88,956,493",5.95%,20.01%,$2.96 ,"$517,601 175,060 EUM"
Wanchain,WAN,"169,028,581 WAN","$87.94M $87,943,693",14.09%,33.66%,$0.52 ,"$2,806,105 5,393,360 WAN"
Venus XVS,vXVS,"224,433,925 vXVS","$88.23M $88,227,114",20.43%,23.53%,$0.39 ,--
Ark,ARK,"129,980,387 ARK","$87.53M $87,531,516",21.43%,38.90%,$0.67 ,"$3,938,322 5,848,233 ARK"
KardiaChain,KAI,"2,049,800,000 KAI","$86.78M $86,775,198",8.90%,17.62%,$0.04 ,"$2,406,890 56,855,456 KAI"
Oxygen,OXY,"58,945,336 OXY","$86.59M $86,591,205",5.18%,15.62%,$1.47 ,"$859,749 585,258 OXY"
Hive,HIVE,"418,737,703 HIVE","$86.34M $86,337,068",19.29%,42.87%,$0.21 ,"$6,136,351 29,761,509 HIVE"
Bytom,BTM,"1,438,596,007 BTM","$85.74M $85,740,076",12.37%,25.83%,$0.06 ,"$30,123,805 505,434,426 BTM"
Vai,VAI,"94,586,937 VAI","$85.69M $85,693,463",1.20%,0.57%,$0.91 ,"$7,867,444 8,683,946 VAI"
Dawn Protocol,DAWN,"66,315,209 DAWN","$85.42M $85,418,627",26.42%,51.41%,$1.29 ,"$252,277 195,857 DAWN"
Linear,LINA,"3,693,518,825 LINA","$85.72M $85,717,555",15.69%,33.16%,$0.02 ,"$12,973,252 559,009,768 LINA"
Beefy.Finance,BIFI,"72,000 BIFI","$84.92M $84,917,142",14.43%,32.36%,"$1,179.40 ","$4,718,655 4,001 BIFI"
Bitball Treasure,BTRS,"450,000 BTRS","$84.44M $84,437,127",3.67%,46.34%,$187.64 ,"$488,717 2,605 BTRS"
Function X,FX,"358,969,342 FX","$83.16M $83,156,260",3.46%,37.87%,$0.23 ,"$983,064 4,243,697 FX"
